Episode,Win Rate (%),Wins,Losses,Left Click Avg (c/g),Right Click Avg (c/g),Total Click Avg (c/g)
1,0.0,0,1,5.0,5.0,10.0
2,0.0,0,2,7.5,5.0,12.5
3,33.33,1,2,7.33,9.67,17.0
4,25.0,1,3,7.25,8.5,15.75
5,20.0,1,4,7.0,8.6,15.6
6,16.67,1,5,7.0,16.0,23.0
7,14.29,1,6,6.86,14.71,21.57
8,25.0,2,6,6.75,15.25,22.0
9,22.22,2,7,6.56,13.78,20.33
10,20.0,2,8,7.0,20.1,27.1
11,18.18,2,9,7.36,20.73,28.09
12,16.67,2,10,7.08,19.33,26.42
13,15.38,2,11,7.31,24.54,31.85
14,14.29,2,12,7.36,28.71,36.07
15,13.33,2,13,7.27,36.87,44.13
16,18.75,3,13,6.88,34.56,41.44
17,17.65,3,14,7.18,43.06,50.24
18,16.67,3,15,7.44,50.61,58.06
19,15.79,3,16,7.42,63.74,71.16
20,15.0,3,17,7.45,61.4,68.85
21,19.05,4,17,7.33,63.24,70.57
22,18.18,4,18,7.68,69.05,76.73
23,17.39,4,19,7.87,72.7,80.57
24,16.67,4,20,7.83,74.0,81.83
25,20.0,5,20,7.76,72.04,79.8
26,19.23,5,21,7.73,73.27,81.0
27,18.52,5,22,7.74,73.59,81.33
28,17.86,5,23,7.75,76.86,84.61
29,17.24,5,24,7.66,77.9,85.55
30,20.0,6,24,7.7,77.5,85.2
31,19.35,6,25,7.71,78.06,85.77
32,18.75,6,26,7.91,86.06,93.97
33,18.18,6,27,7.88,87.82,95.7
34,17.65,6,28,8.12,91.38,99.5
35,17.14,6,29,8.06,93.83,101.89
36,16.67,6,30,7.97,94.92,102.89
37,16.22,6,31,7.97,96.19,104.16
38,18.42,7,31,7.92,93.79,101.71
39,17.95,7,32,7.82,92.41,100.23
40,17.5,7,33,7.75,92.25,100.0
41,17.07,7,34,7.71,92.39,100.1
42,16.67,7,35,7.64,90.29,97.93
43,16.28,7,36,7.67,91.05,98.72
44,15.91,7,37,7.7,89.32,97.02
45,15.56,7,38,7.69,88.04,95.73
46,15.22,7,39,7.67,87.17,94.85
47,14.89,7,40,7.62,86.19,93.81
48,14.58,7,41,7.69,87.71,95.4
49,14.29,7,42,7.63,87.96,95.59
50,14.0,7,43,7.58,86.54,94.12
51,15.69,8,43,7.57,88.18,95.75
52,15.38,8,44,7.56,90.52,98.08
53,15.09,8,45,7.62,94.43,102.06
54,14.81,8,46,7.65,96.74,104.39
55,16.36,9,46,7.6,95.42,103.02
56,16.07,9,47,7.73,96.98,104.71
57,15.79,9,48,7.68,97.82,105.51
58,15.52,9,49,7.69,97.97,105.66
59,16.95,10,49,7.73,98.61,106.34
60,16.67,10,50,7.87,98.48,106.35
61,16.39,10,51,7.82,96.97,104.79
62,16.13,10,52,7.76,95.42,103.18
63,15.87,10,53,7.79,95.13,102.92
64,15.62,10,54,7.83,97.83,105.66
65,16.92,11,54,7.83,96.65,104.48
66,16.67,11,55,7.8,95.86,103.67
67,16.42,11,56,7.93,96.61,104.54
68,16.18,11,57,7.9,96.6,104.5
69,15.94,11,58,7.9,96.83,104.72
70,15.71,11,59,7.96,99.13,107.09
71,15.49,11,60,7.96,100.23,108.18
72,15.28,11,61,7.97,100.07,108.04
73,15.07,11,62,7.99,101.86,109.85
74,14.86,11,63,8.01,102.03,110.04
75,14.67,11,64,8.0,101.52,109.52
76,14.47,11,65,8.0,103.01,111.01
77,14.29,11,66,8.04,104.57,112.61
78,15.38,12,66,8.03,106.78,114.81
79,15.19,12,67,8.05,108.47,116.52
80,15.0,12,68,8.06,109.26,117.33
81,14.81,12,69,8.02,108.3,116.32
82,14.63,12,70,8.04,109.59,117.62
83,14.46,12,71,8.0,108.4,116.4
84,14.29,12,72,8.0,109.8,117.8
85,14.12,12,73,7.99,110.07,118.06
86,13.95,12,74,8.01,111.79,119.8
87,14.94,13,74,8.06,110.54,118.6
88,14.77,13,75,8.11,110.41,118.52
89,14.61,13,76,8.12,110.28,118.4
90,15.56,14,76,8.09,109.78,117.87
91,15.38,14,77,8.05,109.53,117.58
92,15.22,14,78,8.09,111.42,119.51
93,15.05,14,79,8.09,112.23,120.31
94,14.89,14,80,8.05,111.03,119.09
95,14.74,14,81,8.04,111.07,119.12
96,14.58,14,82,8.04,110.44,118.48
97,14.43,14,83,8.03,109.59,117.62
98,14.29,14,84,8.06,108.98,117.04
99,14.14,14,85,8.05,108.13,116.18
100,14.0,14,86,8.09,107.9,115.99
101,13.86,14,87,8.09,108.3,116.39
102,13.73,14,88,8.13,107.41,115.54
103,13.59,14,89,8.1,106.8,114.89
104,14.42,15,89,8.09,105.82,113.9
105,14.29,15,90,8.08,104.88,112.95
106,15.09,16,90,8.04,104.08,112.11
107,14.95,16,91,8.04,103.89,111.93
108,14.81,16,92,8.04,102.98,111.02
109,14.68,16,93,8.05,102.31,110.36
110,14.55,16,94,8.04,102.44,110.47
111,14.41,16,95,8.01,103.36,111.37
112,14.29,16,96,8.02,102.51,110.53
113,14.16,16,97,8.03,102.75,110.78
114,14.04,16,98,8.05,102.36,110.41
115,13.91,16,99,8.07,102.2,110.27
116,13.79,16,100,8.06,101.51,109.57
117,13.68,16,101,8.1,101.89,109.99
118,13.56,16,102,8.16,104.4,112.56
119,14.29,17,102,8.1,103.52,111.62
120,14.17,17,103,8.16,105.16,113.32
121,14.05,17,104,8.13,104.51,112.64
122,13.93,17,105,8.13,104.28,112.41
123,13.82,17,106,8.11,103.67,111.77
124,13.71,17,107,8.1,104.91,113.01
125,14.4,18,107,8.04,104.07,112.11
126,14.29,18,108,8.06,106.02,114.09
127,14.17,18,109,8.07,106.63,114.7
128,14.06,18,110,8.05,106.8,114.86
129,13.95,18,111,8.06,106.48,114.54
130,13.85,18,112,8.12,106.02,114.15
131,13.74,18,113,8.13,105.43,113.56
132,13.64,18,114,8.11,104.71,112.83
133,13.53,18,115,8.09,103.98,112.07
134,13.43,18,116,8.09,103.28,111.37
135,13.33,18,117,8.07,104.14,112.21
136,13.24,18,118,8.13,103.79,111.92
137,13.14,18,119,8.12,103.09,111.21
138,13.04,18,120,8.14,104.96,113.1
139,13.67,19,120,8.09,104.21,112.29
140,13.57,19,121,8.11,104.09,112.21
141,13.48,19,122,8.09,103.7,111.79
142,13.38,19,123,8.11,105.14,113.25
143,13.29,19,124,8.1,105.5,113.6
144,13.19,19,125,8.12,108.25,116.38
145,13.1,19,126,8.14,110.92,119.06
146,13.7,20,126,8.14,110.18,118.32
147,13.61,20,127,8.11,109.94,118.05
148,13.51,20,128,8.11,110.05,118.16
149,13.42,20,129,8.11,112.4,120.52
150,13.33,20,130,8.09,114.6,122.69
151,13.25,20,131,8.08,117.18,125.26
152,13.16,20,132,8.07,116.41,124.49
153,13.07,20,133,8.07,119.0,127.07
154,12.99,20,134,8.05,119.21,127.26
155,12.9,20,135,8.06,121.67,129.73
156,12.82,20,136,8.05,122.18,130.23
157,12.74,20,137,8.04,124.45,132.5
158,12.66,20,138,8.01,126.88,134.89
159,12.58,20,139,8.01,129.16,137.17
160,12.5,20,140,8.0,129.31,137.31
161,12.42,20,141,7.99,131.37,139.37
162,12.35,20,142,8.04,132.6,140.64
163,12.27,20,143,8.02,132.55,140.58
164,12.2,20,144,8.0,131.74,139.74
165,12.12,20,145,7.99,133.72,141.7
166,12.05,20,146,7.97,132.93,140.9
167,11.98,20,147,7.96,135.12,143.08
168,11.9,20,148,7.94,137.06,145.0
169,12.43,21,148,7.93,136.25,144.18
170,12.35,21,149,7.93,137.92,145.85
171,12.28,21,150,7.92,139.92,147.84
172,12.21,21,151,7.91,140.31,148.22
173,12.14,21,152,7.92,142.02,149.94
174,12.07,21,153,7.91,141.61,149.52
175,12.0,21,154,7.9,142.55,150.45
176,11.93,21,155,7.89,144.43,152.31
177,11.86,21,156,7.86,144.64,152.51
178,11.8,21,157,7.84,146.69,154.53
179,11.73,21,158,7.84,148.75,156.6
180,11.67,21,159,7.85,148.48,156.33
181,11.6,21,160,7.85,147.73,155.58
182,11.54,21,161,7.85,148.39,156.24
183,11.48,21,162,7.85,148.09,155.94
184,11.41,21,163,7.83,147.31,155.14
185,11.89,22,163,7.84,148.22,156.06
186,11.83,22,164,7.84,149.98,157.82
187,11.76,22,165,7.84,150.81,158.65
188,11.7,22,166,7.83,150.21,158.04
189,11.64,22,167,7.81,152.18,159.99
190,11.58,22,168,7.81,151.48,159.29
191,11.52,22,169,7.81,150.72,158.52
192,11.46,22,170,7.81,152.0,159.81
193,11.4,22,171,7.8,151.46,159.25
194,11.34,22,172,7.77,153.37,161.14
195,11.28,22,173,7.77,153.26,161.04
196,11.22,22,174,7.79,152.68,160.46
197,11.17,22,175,7.78,154.63,162.41
198,11.11,22,176,7.79,156.1,163.89
199,11.56,23,176,7.78,155.33,163.12
200,11.5,23,177,7.79,156.34,164.12
201,11.44,23,178,7.78,158.2,165.98
202,11.88,24,178,7.77,158.95,166.72
203,11.82,24,179,7.74,160.62,168.36
204,11.76,24,180,7.73,159.96,167.69
205,11.71,24,181,7.73,161.84,169.57
206,12.14,25,181,7.74,161.21,168.95
207,12.56,26,181,7.73,162.11,169.84
208,12.5,26,182,7.73,161.56,169.28
209,12.44,26,183,7.7,163.21,170.9
210,12.38,26,184,7.68,164.91,172.59
211,12.32,26,185,7.66,166.62,174.28
212,12.26,26,186,7.66,166.36,174.02
213,12.21,26,187,7.65,166.71,174.36
214,12.15,26,188,7.66,167.39,175.05
215,12.09,26,189,7.65,168.16,175.8
216,12.04,26,190,7.62,169.78,177.4
217,11.98,26,191,7.61,170.16,177.77
218,11.93,26,192,7.59,169.41,177.0
219,11.87,26,193,7.59,171.0,178.58
220,11.82,26,194,7.59,172.07,179.66
221,11.76,26,195,7.58,173.43,181.02
222,11.71,26,196,7.56,174.95,182.5
223,11.66,26,197,7.55,176.29,183.83
224,11.61,26,198,7.52,177.93,185.45
225,11.56,26,199,7.52,177.15,184.67
226,11.5,26,200,7.5,178.45,185.95
227,11.45,26,201,7.5,179.81,187.31
228,11.4,26,202,7.51,180.73,188.25
229,11.35,26,203,7.51,182.03,189.53
230,11.3,26,204,7.5,181.6,189.11
231,11.26,26,205,7.5,183.07,190.57
232,11.21,26,206,7.5,182.62,190.12
233,11.16,26,207,7.52,182.43,189.95
234,11.11,26,208,7.5,183.88,191.37
235,11.06,26,209,7.51,183.66,191.17
236,11.02,26,210,7.5,182.97,190.47
237,10.97,26,211,7.5,182.22,189.71
238,10.92,26,212,7.49,183.6,191.09
239,10.88,26,213,7.49,184.79,192.28
240,10.83,26,214,7.5,185.91,193.42
241,10.79,26,215,7.51,185.2,192.71
242,10.74,26,216,7.53,184.49,192.02
243,10.7,26,217,7.53,183.83,191.36
244,10.66,26,218,7.53,183.14,190.67
245,10.61,26,219,7.52,184.29,191.8
246,10.57,26,220,7.52,183.56,191.08
247,10.53,26,221,7.53,182.84,190.36
248,10.48,26,222,7.52,182.1,189.62
249,10.44,26,223,7.53,181.45,188.99
250,10.4,26,224,7.52,182.76,190.28
251,10.36,26,225,7.53,182.05,189.58
252,10.32,26,226,7.52,181.37,188.89
253,10.28,26,227,7.54,181.28,188.81
254,10.24,26,228,7.56,181.3,188.86
255,10.2,26,229,7.57,181.24,188.81
256,10.16,26,230,7.57,180.57,188.14
257,10.12,26,231,7.56,179.94,187.5
258,10.08,26,232,7.56,179.26,186.82
259,10.04,26,233,7.55,178.64,186.19
260,10.0,26,234,7.56,179.9,187.46
261,9.96,26,235,7.55,179.24,186.79
262,9.92,26,236,7.54,178.56,186.1
263,9.89,26,237,7.53,178.8,186.33
264,9.85,26,238,7.53,178.14,185.67
265,9.81,26,239,7.52,177.48,185.0
266,9.77,26,240,7.52,178.76,186.29
267,9.74,26,241,7.51,180.05,187.56
268,9.7,26,242,7.51,180.78,188.29
269,9.67,26,243,7.51,180.13,187.64
270,10.0,27,243,7.49,179.46,186.95
271,9.96,27,244,7.49,178.84,186.32
272,9.93,27,245,7.49,178.23,185.72
273,9.89,27,246,7.48,179.36,186.84
274,9.85,27,247,7.46,180.59,188.06
275,9.82,27,248,7.44,182.0,189.44
276,9.78,27,249,7.42,183.3,190.72
277,9.75,27,250,7.41,183.46,190.87
278,9.71,27,251,7.4,184.69,192.08
279,9.68,27,252,7.38,185.76,193.14
280,9.64,27,253,7.4,185.74,193.14
281,9.61,27,254,7.37,187.01,194.38
282,9.57,27,255,7.37,187.68,195.05
283,9.54,27,256,7.35,189.03,196.38
284,9.51,27,257,7.33,190.28,197.62
285,9.47,27,258,7.34,190.46,197.8
286,9.44,27,259,7.36,189.83,197.19
287,9.41,27,260,7.37,189.31,196.68
288,9.72,28,260,7.37,189.33,196.7
289,9.69,28,261,7.38,190.0,197.38
290,9.66,28,262,7.4,189.89,197.29
291,9.62,28,263,7.39,189.24,196.63
292,9.59,28,264,7.39,188.62,196.01
293,9.56,28,265,7.39,188.7,196.09
294,9.52,28,266,7.38,188.06,195.45
295,9.49,28,267,7.38,187.44,194.82
296,9.46,28,268,7.38,186.82,194.2
297,9.43,28,269,7.37,186.22,193.59
