Episode,Win Rate (%),Wins,Losses,Left Click Avg (c/g),Right Click Avg (c/g),Total Click Avg (c/g)
1,0.0,0,1,14.0,17.0,31.0
2,0.0,0,2,12.5,11.5,24.0
3,0.0,0,3,10.33,9.67,20.0
4,0.0,0,4,10.5,11.75,22.25
5,0.0,0,5,11.0,11.4,22.4
6,0.0,0,6,10.67,11.5,22.17
7,0.0,0,7,11.86,12.71,24.57
8,0.0,0,8,11.38,12.75,24.12
9,0.0,0,9,11.56,12.67,24.22
10,0.0,0,10,11.0,12.0,23.0
11,0.0,0,11,10.82,11.82,22.64
12,0.0,0,12,10.33,11.42,21.75
13,0.0,0,13,10.38,11.08,21.46
14,7.14,1,13,9.71,10.29,20.0
15,6.67,1,14,9.8,10.87,20.67
16,6.25,1,15,9.81,10.56,20.38
17,5.88,1,16,10.0,11.24,21.24
18,5.56,1,17,9.83,10.72,20.56
19,5.26,1,18,9.74,10.74,20.47
20,5.0,1,19,9.95,11.1,21.05
21,4.76,1,20,10.0,11.24,21.24
22,4.55,1,21,9.95,11.32,21.27
23,4.35,1,22,9.96,11.22,21.17
24,8.33,2,22,9.79,10.92,20.71
25,8.0,2,23,9.64,10.8,20.44
26,7.69,2,24,9.42,10.46,19.88
27,7.41,2,25,9.26,10.33,19.59
28,7.14,2,26,9.14,10.43,19.57
29,6.9,2,27,9.07,10.24,19.31
30,6.67,2,28,9.1,10.17,19.27
31,6.45,2,29,9.0,10.0,19.0
32,6.25,2,30,8.91,9.94,18.84
33,6.06,2,31,8.85,9.67,18.52
34,5.88,2,32,8.82,9.53,18.35
35,5.71,2,33,8.77,9.49,18.26
36,5.56,2,34,8.75,9.33,18.08
37,5.41,2,35,8.7,9.22,17.92
38,5.26,2,36,8.79,9.71,18.5
39,7.69,3,36,8.79,9.77,18.56
40,7.5,3,37,8.7,9.57,18.27
41,7.32,3,38,8.66,9.51,18.17
42,7.14,3,39,8.62,9.52,18.14
43,6.98,3,40,8.58,9.58,18.16
44,6.82,3,41,8.57,9.7,18.27
45,6.67,3,42,8.53,10.02,18.56
46,6.52,3,43,8.57,10.63,19.2
47,6.38,3,44,8.49,10.53,19.02
48,6.25,3,45,8.42,10.56,18.98
49,6.12,3,46,8.35,10.41,18.76
50,6.0,3,47,8.3,10.44,18.74
51,5.88,3,48,8.25,10.35,18.61
52,5.77,3,49,8.27,10.46,18.73
53,5.66,3,50,8.3,10.49,18.79
54,5.56,3,51,8.28,10.5,18.78
55,5.45,3,52,8.29,10.53,18.82
56,5.36,3,53,8.27,10.62,18.89
57,5.26,3,54,8.3,10.67,18.96
58,5.17,3,55,8.28,10.59,18.86
59,5.08,3,56,8.27,10.61,18.88
60,5.0,3,57,8.25,10.67,18.92
61,4.92,3,58,8.36,10.85,19.21
62,4.84,3,59,8.34,10.81,19.15
63,4.76,3,60,8.29,10.73,19.02
64,4.69,3,61,8.27,10.69,18.95
65,4.62,3,62,8.26,10.6,18.86
66,4.55,3,63,8.23,10.64,18.86
67,4.48,3,64,8.27,10.69,18.96
68,4.41,3,65,8.24,10.6,18.84
69,4.35,3,66,8.25,10.72,18.97
70,4.29,3,67,8.19,10.66,18.84
71,4.23,3,68,8.2,10.66,18.86
72,4.17,3,69,8.28,11.07,19.35
73,4.11,3,70,8.3,11.07,19.37
74,5.41,4,70,8.39,11.47,19.86
