Episode,Win Rate (%),Wins,Losses,Left Click Avg (c/g),Right Click Avg (c/g),Total Click Avg (c/g)
1,0.0,0,1,14.0,17.0,31.0
2,0.0,0,2,16.5,19.5,36.0
3,0.0,0,3,14.33,19.0,33.33
4,25.0,1,3,13.0,16.5,29.5
5,20.0,1,4,11.8,13.6,25.4
6,16.67,1,5,11.5,14.33,25.83
7,14.29,1,6,10.71,14.29,25.0
8,12.5,1,7,10.38,14.25,24.62
9,11.11,1,8,10.0,13.89,23.89
10,10.0,1,9,9.8,13.6,23.4
11,9.09,1,10,9.73,13.0,22.73
12,8.33,1,11,9.58,12.67,22.25
13,7.69,1,12,9.38,12.69,22.08
14,7.14,1,13,8.93,12.14,21.07
15,13.33,2,13,9.2,12.93,22.13
16,12.5,2,14,8.94,13.0,21.94
17,11.76,2,15,9.0,12.65,21.65
18,11.11,2,16,9.33,12.89,22.22
19,10.53,2,17,9.16,12.58,21.74
20,15.0,3,17,9.1,12.7,21.8
21,14.29,3,18,8.95,13.1,22.05
22,13.64,3,19,9.23,13.23,22.45
23,17.39,4,19,9.35,13.52,22.87
24,16.67,4,20,9.17,13.08,22.25
25,20.0,5,20,9.08,12.96,22.04
26,19.23,5,21,9.35,13.08,22.42
27,18.52,5,22,9.33,12.96,22.3
28,17.86,5,23,9.36,13.18,22.54
29,17.24,5,24,9.41,13.0,22.41
30,16.67,5,25,9.33,12.7,22.03
31,16.13,5,26,9.29,12.55,21.84
32,15.62,5,27,9.53,13.78,23.31
33,15.15,5,28,9.52,13.64,23.15
34,14.71,5,29,9.56,13.41,22.97
35,14.29,5,30,9.51,13.4,22.91
36,13.89,5,31,9.39,13.11,22.5
37,13.51,5,32,9.32,12.86,22.19
38,13.16,5,33,9.29,12.89,22.18
39,15.38,6,33,9.15,12.69,21.85
40,15.0,6,34,9.15,12.65,21.8
41,14.63,6,35,9.17,12.76,21.93
42,14.29,6,36,9.21,13.17,22.38
43,13.95,6,37,9.23,13.02,22.26
44,13.64,6,38,9.27,13.32,22.59
45,13.33,6,39,9.36,13.29,22.64
46,13.04,6,40,9.43,13.24,22.67
47,12.77,6,41,9.4,13.38,22.79
48,12.5,6,42,9.35,13.31,22.67
49,14.29,7,42,9.35,13.55,22.9
50,14.0,7,43,9.32,13.64,22.96
51,13.73,7,44,9.22,13.49,22.71
52,13.46,7,45,9.17,13.35,22.52
53,13.21,7,46,9.09,13.09,22.19
54,12.96,7,47,9.11,13.02,22.13
55,12.73,7,48,9.04,12.91,21.95
56,12.5,7,49,9.07,12.75,21.82
57,12.28,7,50,9.02,12.58,21.6
58,12.07,7,51,9.0,12.45,21.45
59,11.86,7,52,9.02,12.47,21.49
60,11.67,7,53,9.03,12.37,21.4
61,11.48,7,54,8.98,12.38,21.36
62,12.9,8,54,8.89,12.21,21.1
63,12.7,8,55,8.84,12.1,20.94
64,12.5,8,56,8.81,12.08,20.89
65,12.31,8,57,8.77,12.06,20.83
66,12.12,8,58,8.7,12.11,20.8
67,11.94,8,59,8.76,12.63,21.39
68,11.76,8,60,8.88,12.88,21.76
69,11.59,8,61,8.88,12.8,21.68
70,11.43,8,62,8.83,12.71,21.54
71,11.27,8,63,8.8,12.59,21.39
72,11.11,8,64,8.82,12.57,21.39
73,10.96,8,65,8.84,12.58,21.41
74,12.16,9,65,8.82,12.59,21.42
75,12.0,9,66,8.79,12.49,21.28
76,11.84,9,67,8.74,12.43,21.17
77,12.99,10,67,8.78,12.4,21.18
78,12.82,10,68,8.74,12.42,21.17
79,12.66,10,69,8.75,12.46,21.2
80,12.5,10,70,8.76,12.55,21.31
81,13.58,11,70,8.77,12.51,21.27
82,13.41,11,71,8.73,12.38,21.11
83,13.25,11,72,8.72,12.37,21.1
84,13.1,11,73,8.68,12.36,21.04
85,12.94,11,74,8.68,12.29,20.98
86,12.79,11,75,8.74,12.33,21.07
87,12.64,11,76,8.74,12.2,20.93
88,12.5,11,77,8.86,12.3,21.16
89,12.36,11,78,8.94,12.42,21.36
90,12.22,11,79,8.9,12.31,21.21
91,13.19,12,79,8.88,12.58,21.46
92,13.04,12,80,8.9,12.65,21.55
93,12.9,12,81,8.92,12.61,21.54
94,12.77,12,82,8.93,12.62,21.54
95,12.63,12,83,8.93,12.64,21.57
96,12.5,12,84,8.93,12.78,21.71
97,12.37,12,85,8.98,12.94,21.92
98,12.24,12,86,8.99,12.94,21.93
99,12.12,12,87,9.01,13.05,22.06
100,12.0,12,88,9.04,13.03,22.07
101,11.88,12,89,9.0,12.92,21.92
102,11.76,12,90,9.08,12.94,22.02
103,12.62,13,90,9.06,12.83,21.89
104,12.5,13,91,9.03,12.81,21.84
105,12.38,13,92,9.04,12.84,21.88
106,12.26,13,93,8.99,12.72,21.71
107,12.15,13,94,8.97,12.6,21.57
108,12.04,13,95,8.96,12.49,21.45
109,11.93,13,96,8.96,12.48,21.44
110,11.82,13,97,8.94,12.45,21.39
111,11.71,13,98,8.94,12.6,21.54
112,12.5,14,98,8.95,12.66,21.61
113,12.39,14,99,8.94,12.59,21.53
114,12.28,14,100,8.96,12.52,21.47
115,12.17,14,101,9.06,12.6,21.66
116,12.07,14,102,9.08,12.63,21.71
117,11.97,14,103,9.09,12.79,21.89
118,11.86,14,104,9.1,12.86,21.97
119,12.61,15,104,9.04,12.76,21.8
120,12.5,15,105,9.03,12.73,21.77
121,13.22,16,105,9.0,12.63,21.63
122,13.11,16,106,9.0,12.63,21.63
123,13.01,16,107,9.0,12.87,21.87
124,12.9,16,108,8.98,12.9,21.89
125,13.6,17,108,8.92,12.8,21.72
126,13.49,17,109,8.9,12.8,21.71
127,13.39,17,110,8.91,12.75,21.65
128,13.28,17,111,8.88,12.73,21.62
129,13.18,17,112,8.89,12.84,21.74
130,13.08,17,113,8.87,12.83,21.7
131,13.74,18,113,8.85,12.94,21.79
132,13.64,18,114,8.83,12.84,21.67
133,13.53,18,115,8.8,12.77,21.57
134,13.43,18,116,8.78,12.69,21.46
135,13.33,18,117,8.77,12.61,21.39
136,13.24,18,118,8.82,12.85,21.68
137,13.14,18,119,8.85,12.89,21.74
138,13.04,18,120,8.88,12.94,21.83
139,12.95,18,121,8.91,13.1,22.01
140,12.86,18,122,8.96,13.28,22.24
141,12.77,18,123,8.96,13.25,22.21
142,12.68,18,124,8.95,13.2,22.15
143,12.59,18,125,8.92,13.11,22.03
144,12.5,18,126,8.92,13.12,22.05
145,12.41,18,127,8.92,13.1,22.03
146,12.33,18,128,8.92,13.11,22.03
147,12.24,18,129,8.9,13.15,22.05
148,12.16,18,130,8.89,13.11,22.0
149,12.08,18,131,8.89,13.05,21.95
150,12.0,18,132,8.89,12.97,21.87
151,11.92,18,133,8.87,12.89,21.76
152,11.84,18,134,8.86,12.82,21.68
153,11.76,18,135,8.87,12.84,21.71
154,11.69,18,136,8.86,12.9,21.76
155,11.61,18,137,8.85,12.85,21.7
156,11.54,18,138,8.86,12.8,21.66
157,11.46,18,139,8.83,12.96,21.79
158,11.39,18,140,8.84,12.91,21.75
159,11.32,18,141,8.81,12.86,21.67
160,11.25,18,142,8.82,12.79,21.61
161,11.18,18,143,8.87,12.85,21.72
162,11.11,18,144,8.89,12.83,21.72
163,11.04,18,145,8.92,12.98,21.9
164,10.98,18,146,8.9,12.99,21.89
165,10.91,18,147,8.87,12.92,21.79
166,10.84,18,148,8.86,12.88,21.73
167,11.38,19,148,8.84,12.81,21.66
168,11.31,19,149,8.85,12.8,21.65
169,11.83,20,149,8.84,12.73,21.57
170,11.76,20,150,8.88,12.75,21.62
171,11.7,20,151,8.89,12.87,21.77
172,11.63,20,152,8.88,12.95,21.83
173,11.56,20,153,8.88,12.97,21.85
174,11.49,20,154,8.87,13.0,21.87
175,11.43,20,155,8.85,12.97,21.82
176,11.93,21,155,8.82,12.95,21.77
177,11.86,21,156,8.84,13.11,21.95
178,11.8,21,157,8.85,13.14,21.99
179,11.73,21,158,8.87,13.15,22.02
180,11.67,21,159,8.87,13.1,21.97
181,11.6,21,160,8.85,13.03,21.88
182,11.54,21,161,8.87,13.19,22.05
183,11.48,21,162,8.85,13.16,22.01
184,11.41,21,163,8.83,13.22,22.04
185,11.35,21,164,8.83,13.24,22.06
186,11.29,21,165,8.81,13.27,22.08
187,11.23,21,166,8.79,13.26,22.05
188,11.17,21,167,8.78,13.19,21.97
189,11.11,21,168,8.77,13.12,21.89
190,11.05,21,169,8.8,13.26,22.06
191,10.99,21,170,8.79,13.26,22.05
192,10.94,21,171,8.8,13.28,22.07
193,10.88,21,172,8.81,13.23,22.05
194,10.82,21,173,8.81,13.26,22.08
195,10.77,21,174,8.81,13.21,22.02
196,10.71,21,175,8.81,13.21,22.02
197,10.66,21,176,8.8,13.15,21.95
198,10.61,21,177,8.79,13.09,21.88
199,10.55,21,178,8.79,13.25,22.04
200,10.5,21,179,8.78,13.23,22.01
201,10.45,21,180,8.77,13.18,21.95
